# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
#
# The above header line is the schema of this file. Use it when creating new cards, along
# with the detailed description of each field which follows.
#
# front :: string, non-empty
#   - Gives the foreign translation of the text.
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# back :: string, non-empty
#   - Gives the native translation of the text (English).
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# emoji :: string, or empty.
#   - When available, represents a visual cue to aid in memorization.
#   - When generating new cards, only use emoji when for single word translation cards when there is a strong match.
#   - When generating new cards, never use an emoji if the card is a sentence or Conversational.
#
# category :: string, non-empty, freeform denoting topic of conversation
#   - Capitalize the first character.
#
# favourite :: true or false.
#   - Marks the card as a favourite for focused study.
#   - When generating new cards, use false.
#
# added :: date in YYYY-MM-DD form, or empty.
#   - Gives the date on which the card was added to the user's deck.
#   - When generating new cards, use the current local date for added.
#
# lastSeen :: date in YYYY-MM-DD form, or empty.
#   - Gives the last date this card was seen by user.
#   - When generating new cards, use 1970-01-01 for lastSeen.
#
# seen :: integer (count) or empty.
#   - Gives the number of times this card has been seen by user.
#   - When generating new cards, use 0 for seen.
#
# penalty :: integer
#   - Represents a score, that gets higher when the user ranks the card hard.
#   - Increases as the card is shown repeatedly and ranked hard.
#   - Increases faster if the card is ranked hard on each presentation.
#   - An empty penalty means the card has not been seen and should correpond with seen=0.
#   - When generating new cards, leave the penalty column empty.
#
# level :: string of (Hard, Core, Easy, Cold)
#   - Hard: the user finds the card very hard; shown in the Hard set and included in Normal.
#   - Core: normally difficult; shown in Normal and New sets.
#   - Easy: too easy; shown only when studying the Review set.
#   - Cold: snoozed indefinitely; not shown in any game mode.
#   - When generating new cards, populate level as Hard.
#
# comment :: string
#   - Useful for learning tips.
#   - For example, explaining why on a given translation ser is used instead of estar.
#   - For example, explaining why on a given translation preterit is used instead of imperfect.
#   - When generating new cards, leave comment blank.
#
# Example new row:
# hola | hello |  | Conversational | false | 2026-05-11 | 1970-01-01 | 0 | | Hard |
#
# Content :: Spanish Topics study


# Running
Corrí el Sporting Life 10K el fin de semana pasado. | I ran the Sporting Life 10K last weekend. |  | Running | false | 2026-05-10 | 2026-09-02 | 2 | 0.7000 | Core | 
Terminé en 44:55, que no está mal dado el entrenamiento que tuve. | I finished in 44:55, which isn't bad given the training I had. |  | Running | false | 2026-05-10 | 2026-09-02 | 4 | 1.0430 | Core | 
Nunca me sentí tan bien en los últimos kilómetros. | I never felt so good in the final kilometres. |  | Running | false | 2026-05-10 | 2026-09-04 | 5 | 1.2401 | Core | 
Me lesioné en enero y no pude entrenar mucho. | I got injured in January and couldn't train much. |  | Running | false | 2026-05-10 | 2026-09-11 | 5 | 1.3931 | Core | 
El recorrido era bastante plano, así que pude mantener un ritmo constante. | The course was pretty flat, so I could keep a steady pace. |  | Running | false | 2026-05-10 | 2026-09-02 | 1 | 2.0000 | Core | 
He corrido ese 10K varias veces. | I've run that 10K several times. |  | Running | false | 2026-05-10 | 2026-09-11 | 2 | 1.7000 | Core | 
Nunca he corrido un maratón completo. | I've never run a full marathon. |  | Running | false | 2026-05-10 | 2026-09-11 | 3 | 1.0000 | Core | 
He mejorado mi récord personal tres veces este año. | I've improved my personal best three times this year. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Siempre he entrenado con el club, nunca por mi cuenta. | I've always trained with the club, never on my own. |  | Running | false | 2026-05-10 | 2026-09-11 | 4 | 1.4900 | Core | 
Entreno cuatro días a la semana, más o menos. | I train about four days a week. |  | Running | false | 2026-05-10 | 2026-09-02 | 3 | 1.1900 | Core | 
Prefiero las carreras de 10K — son lo suficientemente largas para ser un desafío. | I prefer 10K races — they're long enough to be a challenge. |  | Running | false | 2026-05-10 | 2026-09-02 | 3 | 1.4900 | Core | 
Corro con el club los sábados por la mañana. | I run with the club on Saturday mornings. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Voy a correr el medio maratón de Quebec en octubre. | I'm going to run the Quebec half marathon in October. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Planeo intentar un nuevo récord personal en el Black Toe 10K. | I plan to try for a new personal best at the Black Toe 10K. |  | Running | false | 2026-05-10 | 2026-09-11 | 2 | 1.0000 | Core | 
Este verano quiero correr al menos dos carreras. | This summer I want to run at least two races. |  | Running | false | 2026-05-10 | 2026-09-11 | 1 | 1.0000 | Core | 
