# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
#
# The above header line is the schema of this file. Use it when creating new cards, along
# with the detailed description of each field which follows.
#
# front :: string, non-empty
#   - Gives the foreign translation of the text.
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# back :: string, non-empty
#   - Gives the native translation of the text (English).
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# emoji :: string, or empty.
#   - When available, represents a visual cue to aid in memorization.
#   - When generating new cards, only use emoji when for single word translation cards when there is a strong match.
#   - When generating new cards, never use an emoji if the card is a sentence or Conversational.
#
# category :: string, non-empty, of values: Noun, Verb, Adjective, Adverb, Conversational, Conversational
#   - When generating new cards, only choose from the above stated categories.
#   - Capitalize the first character.
#   - If clearly a noun, verb, adjective or adverb then use those categories.
#   - If it is a sentence or part of a sentence, then use Conversational.
#   - If it is a word but fits none of the above cleanly, then use Conversational.
#   - If in doubt, use Conversational.
#
# added :: date in YYYY-MM-DD form, or empty.
#   - Gives the date on which the card was added to the user's deck.
#   - When generating new cards, use the current local date for added.
#
# lastSeen :: date in YYYY-MM-DD form, or empty.
#   - Gives the last date this card was seen by user.
#   - When generating new cards, use 1970-01-01 for lastSeen.
#
# seen :: integer (count) or empty.
#   - Gives the number of times this card has been seen by user.
#   - When generating new cards, use 0 for seen.
#
# penalty :: integer
#   - Represents a score, that gets higher when the user ranks the card hard.
#   - Increases as the card is shown repeatedly and ranked hard.
#   - Increases faster if the card is ranked hard on each presentation.
#   - An empty penalty means the card has not been seen and should correpond with seen=0.
#   - When generating new cards, leave the penalty column empty.
#
# level :: string of (Hard, Core, Easy, Cold)
#   - Hard: the user finds the card very hard; shown in the Hard set and included in Normal.
#   - Core: normally difficult; shown in Normal and New sets.
#   - Easy: too easy; shown only when studying the Review set.
#   - Cold: snoozed indefinitely; not shown in any game mode.
#   - When generating new cards, populate level as Hard.
#
# comment :: string
#   - Useful for learning tips.
#   - For example, explaining why on a given translation ser is used instead of estar.
#   - For example, explaining why on a given translation preterit is used instead of imperfect.
#   - When generating new cards, leave comment blank.
#
# Example new row:
# bonjour | hello |  | Conversational | 2026-03-21 | 1970-01-01 | 0 | | Hard |
#
# Content :: Vocabulary study
#   - This file is for building vocabulary through words and short sentences or Conversationals.
#   - Sentence cards should prefer sentence structure that is natural in Spanish.
#   - Sentence cards should prefer sentences that are useful and someone may actually use.
#   - Sentence cards should prefer proper capitalization and punctuate properly.
#   - Consider the article: Spanish sometimes uses it, sometimes not. Prefer natural, common usage.
#   - If the English needs some clarification or disambiguation, use a bracketed clarifying word: e.g. "to return (something)"
#   - If the Spanish translates to two related English words, separate those English words with a '/'.
#   - If the English translates to two related Spanish words, separate those Spanish words with a '/'.
#
# Convention :: when generating a noun card (category=Noun)
#   - Prefer the singular, unless the singular is not used.
#   - Use the article, le or la in front of the Spanish noun.
#   - Comma separates the cells in a table row.
#   - Semicolon separates the rows in a table.
#
# Convention :: when generating an adjective card (category=Adjective)
#   - If the adjective has masculine and feminine forms then list both as <masculine>, o <feminine>
#   - For example: rojo, o roja
#   - If the adjective has only one form, then just use that alone.
#
# Convention :: when generating a verb card (category=Verb)
#   - A verb card may show a verb infinitive as the Spanish, in which case the English should start with the word 'to'.
#   - A verb card may show nothing more than a conjugated form, in which case the Spanish article should be bracketed to show it is optionally used.
#   - For the article of the third person singular, use (él/ella/usted)
#   - For the article of the third person plural, use (ellos/ellas/ustedes)
#   - Don't create cards of conjugations for vosotros.
#
# *** If you notice a bug or error in these translations, always call them out ***
#

# >>> Present Tense

Je suis touriste. | I'm a tourist. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je suis canadien. | I'm Canadian. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Nous sommes deux. | There are two of us. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
J'ai une réservation. | I have a reservation. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
J'ai faim. | I'm hungry. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | avoir faim = to be hungry; literally "to have hunger"
J'ai soif. | I'm thirsty. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | avoir soif = to be thirsty; literally "to have thirst"
Je vais à la gare. | I'm going to the train station. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je vais à pied. | I'm going on foot. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je prends le menu à vingt euros. | I'll have the set menu at twenty euros. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | prendre = to take/have; used naturally for ordering
Je prends le métro. | I'm taking the metro. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je mange ici ce soir. | I'm eating here tonight. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je bois de l'eau, s'il vous plaît. | I'll have water, please. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je parle un peu français. | I speak a little French. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je ne comprends pas. | I don't understand. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je cherche l'hôtel Lumière. | I'm looking for the Hôtel Lumière. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je cherche un restaurant pas trop cher. | I'm looking for a restaurant that's not too expensive. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je veux une chambre pour deux nuits. | I want a room for two nights. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je dois partir tôt demain matin. | I have to leave early tomorrow morning. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
J'arrive demain soir. | I'm arriving tomorrow evening. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je reste trois nuits. | I'm staying three nights. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je réserve une table pour ce soir. | I'm booking a table for tonight. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je paie par carte. | I'm paying by card. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je ne sais pas. | I don't know. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Je connais bien ce quartier. | I know this neighbourhood well. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Il fait beau aujourd'hui. | The weather is nice today. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | faire + weather: il fait beau/chaud/froid/mauvais
Il fait chaud ici. | It's hot in here. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Le train part à quelle heure ? | What time does the train leave? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Le bus arrive dans dix minutes. | The bus arrives in ten minutes. |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
On peut marcher jusqu'à la plage ? | Can we walk to the beach? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | on peut = we can / one can; very common in spoken French
Ça coûte combien ? | How much does it cost? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Est-ce que vous avez une table pour deux ? | Do you have a table for two? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Est-ce que vous avez une chambre de libre ? | Do you have a room available? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Vous parlez anglais ? | Do you speak English? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | Rising intonation question — natural in spoken French
Est-ce que vous acceptez les cartes ? | Do you accept cards? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Le musée est ouvert aujourd'hui ? | Is the museum open today? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Où est la station de métro la plus proche ? | Where is the nearest metro station? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Où est-ce qu'on prend le bus ? | Where do we catch the bus? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Est-ce qu'il y a un distributeur près d'ici ? | Is there an ATM nearby? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard | distributeur = ATM in France; also called DAB
Vous pouvez m'appeler un taxi ? | Can you call me a taxi? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Vous pouvez répéter plus lentement ? | Can you repeat more slowly? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
Qu'est-ce que vous recommandez ? | What do you recommend? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
C'est compris dans le prix ? | Is it included in the price? |  | Present | false | 2026-04-26 | 1970-01-01 | 0 | | Hard |
